market,sim,c1,c2,rss_impr_pct,b_MR,b_EX
ta35,17,98.5308,101.4561,2.7812,-0.020359,-0.189184
ta35,18,96.7757,101.2367,2.3221,-1.815424,-0.18691
ta35,19,99.5546,101.6023,2.8283,-0.010899,-0.528944
ta35,20,96.7757,102.0411,1.6467,-0.864577,-0.144509
ta35,21,99.189,102.1142,2.5391,-0.022297,-0.177398
ta35,22,98.6771,100.6516,2.8883,-0.02373,-0.006564
ta35,23,98.3114,101.8948,2.4966,0.016584,-0.420335
ta35,24,97.0682,100.871,3.2748,-0.263179,-0.014326
ta35,25,97.0682,99.189,2.4511,-1.584696,-0.006439
ta35,26,97.6532,100.4322,5.0387,0.003228,-0.060047
ta35,27,98.9696,102.1142,2.5867,-0.005877,-0.695674
ta35,28,97.1413,101.8948,3.5002,0.054754,-1.014968
ta35,29,97.3607,99.7009,2.6471,-0.080271,-0.011276
ta35,30,97.5801,101.3098,5.0239,-0.01107,-0.182269
ta35,31,96.7757,99.8472,2.4818,0.398664,-0.018358
ta35,32,98.6039,101.5292,4.761,-0.00321,-0.38527
ta35,33,96.9219,101.8948,2.2087,-1.342211,-0.35197
ta35,34,99.4815,101.968,3.1775,-0.014482,-0.732517
ta35,35,97.2876,101.1635,1.7934,0.033797,-0.033107
ta35,36,97.7264,100.5785,3.2825,-0.015625,-0.008162
ta35,37,98.5308,100.5785,2.6603,-0.019073,-0.0045
ta35,38,97.3607,99.4084,4.5792,0.204,-0.058134
ta35,39,96.7757,101.8948,3.5581,-1.056888,0.034376
ta35,40,97.1413,101.6755,2.9813,0.00525,-0.541726
ta35,41,97.0682,100.871,3.0942,-1.280866,0.021756
ta35,42,97.6532,101.1635,2.8495,-0.037357,-0.022131
ta35,43,96.9219,98.8965,3.1355,-1.006581,-0.011297
ta35,44,98.5308,102.2605,2.088,0.020081,-0.574709
ta35,45,96.9219,101.968,4.583,-0.667349,0.147288
ta35,46,99.2621,101.5292,3.5452,-0.011684,-0.354092
ta35,47,98.6771,101.8217,2.7238,0.011199,0.021593
ta35,48,99.4815,101.968,2.6959,0.005001,-0.423149
ta35,49,97.2144,101.6023,3.5811,-0.048395,-0.340701
hangseng,0,98.6633,102.1478,3.0784,-0.012882,-1.262903
hangseng,1,100.1567,102.1478,2.5162,-0.02878,-0.797712
hangseng,2,99.6589,102.2189,2.9434,0.005348,-0.573278
hangseng,3,97.0989,99.3033,6.2181,-0.753108,-0.073966
hangseng,4,97.3122,101.65,5.0492,-0.057366,-0.49988
hangseng,5,96.7433,102.0767,2.7412,15.373034,0.021278
hangseng,6,97.5256,100.7967,3.1551,-0.030859,-0.060706
hangseng,7,99.09,101.5078,4.8521,-0.024129,-0.311735
hangseng,8,96.7433,102.0767,2.7038,0.94957,-0.473773
hangseng,9,97.0278,101.3656,2.7179,-0.672033,-0.272088
hangseng,10,97.0278,102.2189,3.3904,-0.737196,-0.3835
hangseng,11,98.0944,102.0056,2.3287,-0.05192,-1.237469
hangseng,12,97.0278,101.7211,3.0203,-1.344637,-0.842281
hangseng,13,97.0278,100.8678,4.3296,-1.261402,-0.097891
hangseng,14,98.3789,101.7922,3.5295,0.017176,-0.183999
hangseng,15,97.0989,100.7967,2.7275,0.087693,-0.01084
hangseng,16,97.81,100.37,4.1131,-0.014711,-0.04366
hangseng,17,96.8856,101.2233,2.133,-1.394436,-0.067452
hangseng,18,99.3744,101.7211,2.4312,-0.023249,-0.10189
hangseng,19,98.5922,100.5833,3.2205,-0.096503,-0.084063
hangseng,20,98.9478,102.2189,4.2706,-0.052313,-1.319266
hangseng,21,97.0989,101.7211,4.0206,0.061267,-0.267259
hangseng,22,98.8767,102.2189,3.707,0.010483,-0.866787
hangseng,23,98.45,100.7256,2.981,-0.071558,-0.015441
hangseng,24,97.0278,99.3033,5.3162,-1.026753,-0.009908
hangseng,25,97.3833,102.0767,1.9892,0.040509,-0.862715
hangseng,26,97.0989,99.3033,4.0965,-0.19836,-0.026876
hangseng,27,98.0233,101.2233,3.678,-0.016822,-0.232468
hangseng,28,97.17,99.5167,4.1764,0.046282,-0.012588
hangseng,29,99.09,102.2189,3.2261,-0.024431,-1.180096
hangseng,30,97.0989,100.1567,5.2256,-0.477286,-0.015104
hangseng,31,98.5211,101.8633,5.0183,-0.053358,-0.392436
hangseng,32,99.8011,102.2189,2.1858,0.004228,-0.844285
hangseng,33,99.1611,101.2944,3.0892,-0.013434,-0.138298
hangseng,34,99.5167,102.1478,2.3264,-0.004692,-1.209125
hangseng,35,100.1567,102.2189,2.3492,-0.018892,-0.748363
hangseng,36,96.9567,101.2944,2.6024,-0.703955,-0.121437
hangseng,37,97.5967,100.0856,3.3437,-0.184061,-0.043369
hangseng,38,98.3078,100.2989,2.8792,0.049776,-0.018858
hangseng,39,97.0989,101.2944,3.493,0.108026,-0.2738
hangseng,40,97.6678,100.5122,4.0288,0.070448,-0.027829
hangseng,41,97.0989,101.1522,3.5874,0.156304,-0.030613
hangseng,42,99.5167,101.9344,5.4012,-0.010441,-1.205377
hangseng,43,97.7389,101.9344,3.0057,0.060537,-0.776001
hangseng,44,99.0189,101.7211,3.2911,0.021069,-0.23993
hangseng,45,99.3744,102.1478,2.4484,-0.016507,-1.007919
hangseng,46,99.8011,102.1478,3.5966,-0.041771,-0.668043
hangseng,47,100.6544,102.6456,3.2663,-0.016246,0.0
hangseng,48,97.0278,99.2322,2.2867,-1.404508,-0.011965
hangseng,49,96.9567,102.1478,3.7321,-0.793966,-0.82334
twse,0,97.4067,101.8533,3.6483,0.056446,-0.365205
twse,1,101.3933,103.3867,3.5529,-0.037999,0.0
twse,2,98.3267,101.3167,6.1583,-0.07718,-0.050484
twse,3,99.63,101.7767,5.028,-0.105406,0.1705
twse,4,97.1767,101.1633,2.6484,0.056196,-0.027297
twse,5,96.9467,101.01,3.7122,-0.758173,0.012902
twse,6,99.0167,102.2367,5.571,-0.044296,-0.755235
twse,7,99.0167,101.8533,2.0485,0.014494,-0.278669
twse,8,98.7867,101.8533,2.4887,0.009429,-0.420799
twse,9,97.1,100.7033,4.2096,-0.100532,-0.012406
twse,10,96.87,100.9333,2.9356,-0.88496,-0.039632
twse,11,99.4767,102.0067,4.5402,-0.086102,-0.223274
twse,12,96.9467,101.0867,3.3025,-1.185362,-0.042808
twse,13,97.0233,100.9333,5.4841,-1.55011,-0.112279
twse,14,99.7067,102.0833,5.419,-0.027021,-1.276947
twse,15,98.8633,102.16,2.7571,0.015438,-0.348692
twse,16,97.1,101.3933,3.6586,0.043804,-0.253
twse,17,96.87,101.5467,3.3365,-0.554106,-0.362079
twse,18,98.5567,101.47,5.0004,-0.02479,-0.067938
twse,19,97.1,100.78,3.7939,-1.142814,-0.03446
twse,20,96.87,101.93,2.3624,-1.588604,-0.185906
twse,21,96.87,100.78,2.1703,-1.660179,0.010824
twse,22,98.48,101.24,3.3382,0.05438,-0.113047
twse,23,97.0233,101.3167,3.6202,-0.87428,-0.192108
twse,24,96.87,98.8633,3.8491,-0.387224,-0.028742
twse,25,97.1767,102.16,3.9778,-0.058904,0.077489
twse,26,98.6333,102.2367,3.7245,0.005979,-0.531701
twse,27,99.0933,101.5467,2.9967,-0.013525,-0.147199
twse,28,98.6333,102.16,4.5069,-0.113522,0.122096
twse,29,97.8667,100.1667,5.8042,-0.078015,-0.066389
twse,30,97.1,99.3233,4.3958,0.201843,-0.017339
twse,31,98.71,100.7033,2.6417,-0.017642,0.001528
twse,32,96.9467,101.5467,3.1286,-1.313678,-0.246843
twse,33,96.87,98.8633,4.7145,-0.227785,-0.037111
twse,34,98.94,102.0833,4.896,0.016433,-0.29237
twse,35,99.0167,101.8533,7.0922,-0.207832,-0.452716
twse,36,97.1767,99.17,4.521,-0.165433,-0.042165
twse,37,96.7933,102.0833,2.9157,-1.517624,-0.328252
twse,38,100.1667,102.16,2.1934,-0.008726,-1.014727
twse,39,98.25,101.1633,4.5319,-0.034144,-0.171319
twse,40,100.0133,102.2367,3.8755,-0.051194,-0.206248
twse,41,97.4067,102.16,5.1203,-0.054725,-0.588739
twse,42,99.3233,101.3933,6.9498,-0.017827,0.03448
twse,43,96.7933,100.2433,4.5019,-0.730446,-0.060314
twse,44,97.1,99.17,2.642,0.116481,-0.01467
twse,45,97.6367,102.0833,4.906,-0.011606,0.089034
twse,46,97.1,101.47,4.6465,0.077442,-0.274586
twse,47,97.1767,100.78,3.7276,-0.171815,-0.065333
twse,48,97.0233,101.24,3.855,-0.895654,-0.297848
twse,49,96.87,102.0067,2.518,-1.165776,-0.63675
smi,0,97.5697,101.9198,3.0392,-0.008343,-0.638619
smi,1,97.2844,101.2067,4.2624,-0.263498,-0.319286
smi,2,97.1418,100.137,3.0576,-0.098011,-0.005754
smi,3,96.7853,101.278,3.6156,-0.018515,-0.142414
smi,4,98.9246,101.9911,3.3363,-0.031164,-0.412124
smi,5,96.7853,101.9198,2.9332,-2.304903,-0.808145
smi,6,96.9279,100.4935,3.4814,-2.123122,-0.021098
smi,7,97.2131,102.2051,3.1578,-0.091402,-0.223106
smi,8,99.1386,101.7772,3.4907,-0.087596,-0.393797
smi,9,96.8566,101.278,2.877,-1.8596,-0.26339
smi,10,97.3558,100.5648,2.1088,-0.045288,-0.007776
smi,11,97.1418,102.0624,2.5948,0.201995,-0.128609
smi,12,98.1402,102.2051,3.4012,0.030663,-0.729259
smi,13,98.4968,102.2051,2.8667,-0.003366,-0.966041
smi,14,97.0705,101.278,1.6209,-0.919465,-0.105092
smi,15,96.8566,102.2051,2.9096,-1.690547,1.121556
smi,16,96.8566,100.6362,1.683,0.340941,-0.000742
smi,17,97.641,101.2067,4.4195,-0.03093,-0.354836
smi,18,96.7853,102.1337,3.2781,-2.210802,-0.870611
smi,19,98.2828,101.8485,3.5134,0.039931,-0.616279
smi,20,98.2828,101.7772,3.926,-0.1842,-0.041814
smi,21,96.8566,101.5632,2.378,-0.989069,-0.136712
smi,22,98.6394,101.2067,5.5127,-0.028085,-0.3223
smi,23,98.7107,101.9198,6.29,-0.036903,-1.010289
smi,24,96.8566,99.0673,3.6435,1.832196,-0.017959
smi,25,98.9246,101.064,4.182,0.015284,-0.069506
smi,26,99.3525,101.9198,2.8472,-0.012921,-0.046644
smi,27,99.5665,101.5632,6.3541,-0.013383,-0.801481
smi,28,96.9279,98.996,2.7606,-0.561455,0.005574
smi,29,98.996,101.064,3.3372,-0.007371,0.015481
smi,30,97.1418,101.6345,5.3696,0.076291,-0.20077
smi,31,97.0705,101.9911,3.5682,-0.674839,-0.460651
smi,32,98.1402,101.9911,2.2084,0.023272,-0.597057
smi,33,96.8566,99.2099,3.5461,-0.817895,-0.005744
